,Date,News,Price,fear-and-greed-index
0,4/10/2022,"MicroStrategy CEO Michael Saylor speaks with CNBC’s MacKenzie Sigalos about the company’s latest bitcoin purchase, potential U.S. regulation and more.",0,39
1,4/8/2022,My first experience with one of the men Peter Thiel called a “sociopathic grandpa from Omaha” was in the early 1990s.Joe Kernen and I were ...,0,54
2,4/8/2022,"Cryptocurrency was initially created to sidestep old institutions – and banks may finally be feeling themselves get disrupted, Ark Invest CEO Cathie Wood said.Known for ...",0,54
3,4/8/2022,"William Quigley, Tether and Worldwide Asset Exchange co-founder, joins ‘Squawk on the Street’ to discuss the cryptocurrency landscape amid recent bearish views, who the real ...",0,54
4,4/8/2022,CNBC’s Kate Rooney speaks to ARK Invest CEO Cathie Wood at the 2022 North American Bitcoin Conference in Miami. Wood addresses the potential for bitcoin ...,0,54
5,4/8/2022,"MIAMI — Blockstream and Jack Dorsey’s Block, formerly Square, are breaking ground on a solar- and battery-powered bitcoin mine in Texas that uses solar and ...",0,54
6,4/8/2022,CNBC Crypto World features the latest news and daily trading updates from the digital currency markets and provides viewers with a look at what’s ahead ...,0,54
7,4/8/2022,CNBC’s MacKenzie Sigalos sat down with Blockstream co-founder Adam Back to speak about the company’s project with Tesla and Block. Blockstream and Jack Dorsey’s Block ...,0,54
8,4/8/2022,"At a bitcoin conference Thursday, billionaire venture capitalist Peter Thiel said Warren Buffett tops an “enemies list” of people who are trying to stop the ...",0,54
9,4/6/2022,CNBC’s Kate Rooney reports on the Bitcoin 2022 conference in Miami.,0,69
10,4/6/2022,CNBC Crypto World features the latest news and daily trading updates from the digital currency markets and provides viewers with a look at what’s ahead ...,0,69
11,4/6/2022,"In a space filled with venture investors and traders, a blockchain fund run by value managers thinks it can give investors greater returns than bitcoin ...",0,69
12,3/31/2022,"Though bitcoin has been cruising higher for most of March, investor sentiment has been especially optimistic since Sunday. Vanda Research says small investors are banking ...",0,72
13,3/29/2022,"Chris Kline, co-founder and COO of Bitcoin IRA, joins CNBC Crypto World to explain the trends in the crypto market as digital currencies rally.",1,74
14,3/29/2022,Galaxy Digital CEO Mike Novogratz joins CNBC’s ‘Squawk Box’ to break down bitcoin’s latest recovery and more.,1,74
